name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
Azospirillum brasilense,192,S,870,576,1446,0.00014
Tepidanaerobacter acetatoxydans,499229,S,97,0,97,0.00001
Rhodococcus aetherivorans,191292,S,54,126,180,0.00002
Methylobacterium sp. AMS5,925818,S,221,157,378,0.00004
Streptococcus sp. I-P16,1156433,S,685,371,1056,0.0001
Erwinia phage vB_EamM_Caitlin,1883379,S,335,6,341,0.00003
Streptococcus sp. I-G2,1156431,S,671,373,1044,0.0001
Melioribacter roseus,1134405,S,46,2,48,0
Staphylococcus argenteus,985002,S,24,2,26,0
Actinopolymorpha singaporensis,117157,S,278,16,294,0.00003
Luteimonas sp. 83-4,2172536,S,26562,3478,30040,0.00296
Halobacteroides halobius,42422,S,117,0,117,0.00001
Flavobacterium commune,1306519,S,700,36,736,0.00007
Mesorhizobium oceanicum,1670800,S,1097,128,1225,0.00012
Aquimarina sp. BL5,1714860,S,121,7,128,0.00001
Clostridium tyrobutyricum,1519,S,262,3,265,0.00003
Enterococcus phage IME-EFm5,1718158,S,17,0,17,0
Salinigranum rubrum,755307,S,30,6,36,0
Pelodictyon luteolum,1100,S,55,3,58,0.00001
Thiomonas arsenitoxydans,426114,S,873,325,1198,0.00012
Streptomyces davaonensis,348043,S,118,10,128,0.00001
Methylobacterium sp. 4-46,426117,S,763,56,819,0.00008
Rhodobacteraceae bacterium,1904441,S,150,204,354,0.00003
Delftia sp. Cs1-4,742013,S,1312,3960,5272,0.00052
Flavobacterium sp. HYN0086,2249356,S,540,66,606,0.00006
Paraburkholderia sprentiae,948107,S,313,70,383,0.00004
Jeotgalicoccus saudimassiliensis,1461582,S,27,0,27,0
Pseudomonas simiae,321846,S,156,753,909,0.00009
Sideroxydans lithotrophicus,63745,S,463,33,496,0.00005
Bacillus sp. Y1,352858,S,40,2,42,0
Lachnoanaerobaculum umeaense,617123,S,336,8,344,0.00003
Thermoanaerobacterium thermosaccharolyticum,1517,S,72,44,116,0.00001
Alteromonas australica,589873,S,45,9,54,0.00001
Ketobacter alkanivorans,1917421,S,126,14,140,0.00001
Desulfovibrio piger,901,S,4713,125,4838,0.00048
Salinicola tamaricis,1771309,S,251,10,261,0.00003
Lactococcus virus KSY1,388452,S,12,0,12,0
Acidaminococcus fermentans,905,S,686,182,868,0.00009
Nostoc sp. NIES-4103,2005458,S,42,7,49,0
Bradyrhizobium diazoefficiens,1355477,S,855,505,1360,0.00013
Corynebacterium provencense,1737425,S,155,9,164,0.00002
Streptomyces spongiicola,1690221,S,98,11,109,0.00001
Dickeya sp. MK7,1224145,S,11,6,17,0
Dickeya sp. CSL RW240,1224144,S,18,76,94,0.00001
Mucinivorans hirudinis,1433126,S,76,0,76,0.00001
Methanobacterium formicicum,2162,S,593,36,629,0.00006
Candidatus Ishikawaella capsulata,168169,S,13,0,13,0
Burkholderia diffusa,488732,S,91,45,136,0.00001
Gibbsiella quercinecans,929813,S,316,4,320,0.00003
Brachybacterium sp. VM2412,2017484,S,181,89,270,0.00003
Marinobacter sp. es.042,1761794,S,101,39,140,0.00001
Veillonella rodentium,248315,S,328,31,359,0.00004
Streptomyces globisporus,1908,S,112,44,156,0.00002
Ralstonia insidiosa,190721,S,1391,361,1752,0.00017
Streptomyces glaucescens,1907,S,105,14,119,0.00001
Sedimenticola thiotaurini,1543721,S,220,2,222,0.00002
Streptomyces clavuligerus,1901,S,111,13,124,0.00001
Nitratifractor salsuginis,269261,S,50,0,50,0
Lactococcus phage phiL47,1412875,S,138,116,254,0.00003
Kocuria sp. BT304,1702043,S,449,1153,1602,0.00016
Fusobacterium mortiferum,850,S,326,28,354,0.00003
Fusobacterium nucleatum,851,S,802,351,1153,0.00011
Beutenbergia cavernae,84757,S,430,31,461,0.00005
Faecalibacterium prausnitzii,853,S,594087,50328,644415,0.06351
Fusobacterium necrophorum,859,S,143,10,153,0.00002
gamma proteobacterium HdN1,83406,S,725,10,735,0.00007
Parascardovia denticolens,78258,S,171,1,172,0.00002
Thermococcus nautili,195522,S,10,13,23,0
Dickeya sp. DW 0440,1225785,S,98,649,747,0.00007
Clostridium phage c-st,12336,S,30,0,30,0
Mycoplasma bovoculi,45362,S,10,0,10,0
Herbaspirillum hiltneri,341045,S,586,60,646,0.00006
Trichormus variabilis,264691,S,12,21,33,0
Bacillus muralis,264697,S,40,1,41,0
Selenomonas sp. oral taxon 920,1884263,S,122,11,133,0.00001
Citrobacter youngae,133448,S,642,1082,1724,0.00017
Ferrimonas balearica,44012,S,267,6,273,0.00003
Paenibacillus stellifer,169760,S,128,9,137,0.00001
Elizabethkingia anophelis,1117645,S,3277,2690,5967,0.00059
Pontibacter akesuensis,388950,S,50,10,60,0.00001
Clostridium sp. JN500901,2068654,S,103,0,103,0.00001
Salmonella virus LSPA1,2005698,S,90,3,93,0.00001
Escherichia phage Lw1,1307804,S,34,16,50,0
Prevotella fusca,589436,S,93,38,131,0.00001
Verrucosispora maris,1003110,S,130,46,176,0.00002
Corynebacterium aquilae,203263,S,96,4,100,0.00001
Streptomyces nigra,1827580,S,122,15,137,0.00001
Alcanivorax borkumensis,59754,S,25,90,115,0.00001
Caldicellulosiruptor obsidiansis,717609,S,10,5,15,0
Catenulispora acidiphila,304895,S,340,24,364,0.00004
Kushneria marisflavi,157779,S,145,27,172,0.00002
Mycoplasma phocidae,142651,S,13,1,14,0
Microbulbifer thermotolerans,252514,S,138,2,140,0.00001
Paracoccus sp. SC2-6,2259340,S,1931,281,2212,0.00022
Sphingobium indicum,332055,S,261,617,878,0.00009
Sphingobium japonicum,332056,S,463,886,1349,0.00013
Burkholderia thailandensis,57975,S,182,492,674,0.00007
Mordavella sp. Marseille-P3756,2086584,S,5217,497,5714,0.00056
Brevibacillus formosus,54913,S,31,20,51,0.00001
Sphingobacterium sp. 21,743722,S,56,2,58,0.00001
Bradyrhizobiaceae bacterium SG-6C,709797,S,3884,782,4666,0.00046
Brachyspira intermedia,84377,S,18,5,23,0
Snodgrassella alvi,1196083,S,354,29,383,0.00004
Streptococcus phage phiNJ2,1239381,S,29,0,29,0
Deinococcus peraridilitoris,432329,S,98,1,99,0.00001
Pseudomonas moraviensis,321662,S,1594,436,2030,0.0002
Actinopolyspora erythraea,414996,S,167,6,173,0.00002
Halomonas sp. 1513,1883416,S,308,11,319,0.00003
Hippea maritima,84405,S,12,0,12,0
Terriglobus saanensis,870903,S,63,10,73,0.00001
Brucella sp. 09RB8910,1844051,S,124,71,195,0.00002
Macrococcus canis,1855823,S,116,21,137,0.00001
Pasteurella multocida,747,S,340,1009,1349,0.00013
Janthinobacterium sp. Marseille,375286,S,1337,275,1612,0.00016
Rathayibacter tritici,33888,S,390,49,439,0.00004
Geitlerinema sp. PCC 7407,1173025,S,64,7,71,0.00001
Pseudomonas entomophila,312306,S,494,44,538,0.00005
Neisseria subflava,28449,S,1486,298,1784,0.00018
Yersinia entomophaga,935293,S,113,3,116,0.00001
Clavibacter michiganensis,28447,S,1387,152,1539,0.00015
Anaerotignum propionicum,28446,S,365,0,365,0.00004
Capnocytophaga stomatis,1848904,S,102,15,117,0.00001
Salmonella virus SETP13,2005694,S,18,7,25,0
Muricauda lutaonensis,516051,S,19,0,19,0
Rhodococcus sp. B7740,1564114,S,335,25,360,0.00004
Streptacidiphilus sp. DSM 106435,2126346,S,175,35,210,0.00002
Pseudomonas rhizosphaerae,216142,S,1252,50,1302,0.00013
Bacillus safensis,561879,S,66,10,76,0.00001
Halorhodospira halochloris,1052,S,61,0,61,0.00001
Halorhodospira halophila,1053,S,191,6,197,0.00002
Shigella virus PSf2,1921005,S,10,2,12,0
Erwinia sp. Ejp617,215689,S,15,43,58,0.00001
Escherichia virus T1,1921008,S,11,1,12,0
Neomicrococcus aestuarii,556325,S,122,18,140,0.00001
Candidatus Kuenenia stuttgartiensis,174633,S,35,0,35,0
Corynebacterium ammoniagenes,1697,S,68,5,73,0.00001
Bifidobacterium pseudolongum,1694,S,653,21,674,0.00007
Bacillus sp. FJAT-22090,1581038,S,36,2,38,0
Anaeromyxobacter sp. K,447217,S,49,130,179,0.00002
Kibdelosporangium phytohabitans,860235,S,282,24,306,0.00003
Mesorhizobium amorphae,71433,S,1010,158,1168,0.00012
Streptomyces sp. CdTB01,1725411,S,169,17,186,0.00002
Leptospirillum ferriphilum,178606,S,18,29,47,0
Marinithermus hydrothermalis,186192,S,60,9,69,0.00001
Mycolicibacterium aurum,1791,S,1538,254,1792,0.00018
Streptomyces griseochromogenes,68214,S,114,10,124,0.00001
Paenibacillus donghaensis,414771,S,94,5,99,0.00001
Halomonas hydrothermalis,115561,S,298,20,318,0.00003
Clostridium isatidis,182773,S,220,13,233,0.00002
Paraburkholderia hospita,169430,S,358,217,575,0.00006
Dokdonia sp. 4H-3-7-5,983548,S,18,8,26,0
Micrococcus luteus,1270,S,2784,903,3687,0.00036
Planococcus donghaensis,414778,S,29,6,35,0
Dermacoccus nishinomiyaensis,1274,S,1151,237,1388,0.00014
Serratia liquefaciens,614,S,1964,122,2086,0.00021
Serratia marcescens,615,S,2262,1274,3536,0.00035
Luteitalea pratensis,1855912,S,397,1,398,0.00004
Enterobacteria phage phiEcoM-GJ1,451705,S,205,0,205,0.00002
Methanocella conradii,1175444,S,19,0,19,0
Thauera aromatica,59405,S,4808,2507,7315,0.00072
Acidovorax ebreus,721785,S,8003,38369,46372,0.00457
Erythrobacter flavus,192812,S,341,232,573,0.00006
Pectobacterium phage PM1,1399915,S,23,0,23,0
Pantoea stewartii,66269,S,227,7,234,0.00002
Mycoplasma gallisepticum,2096,S,63,10,73,0.00001
Streptomyces sp. ETH9427,2211357,S,84,11,95,0.00001
Desulfuromonas soudanensis,1603606,S,211,13,224,0.00002
Virgibacillus pantothenticus,1473,S,29,1,30,0
Geobacillus subterraneus,129338,S,16,8,24,0
Bacillus methanolicus,1471,S,52,3,55,0.00001
Methylobacterium sp. 17Sr1-28,2202827,S,416,79,495,0.00005
Methylobacterium sp. 17Sr1-1,2202826,S,390,79,469,0.00005
Methylobacterium sp. 17SD2-17,2202825,S,529,40,569,0.00006
Enterobacter ludwigii,299767,S,194,311,505,0.00005
Bacillus simplex,1478,S,52,3,55,0.00001
Methylobacterium sp. 17Sr1-43,2202828,S,1075,111,1186,0.00012
Marinobacter sp. LQ44,1749259,S,114,21,135,0.00001
Methanobacterium sp. MZ-A1,1911685,S,20,110,130,0.00001
Altererythrobacter atlanticus,1267766,S,555,312,867,0.00009
Streptococcus sanguinis,1305,S,2364,87,2451,0.00024
Campylobacter sp. RM16704,1500960,S,19,0,19,0
Bibersteinia trehalosi,47735,S,94,21,115,0.00001
Streptococcus gordonii,1302,S,3470,171,3641,0.00036
Chelativorans sp. BNC1,266779,S,1105,79,1184,0.00012
Candidatus Tachikawaea gelatinosa,1410383,S,12,0,12,0
Streptococcus thermophilus,1308,S,67314,15025,82339,0.00812
Citrobacter amalonaticus,35703,S,983,442,1425,0.00014
Brevirhabdus pacifica,1267768,S,980,456,1436,0.00014
Geobacter daltonii,1203471,S,88,2,90,0.00001
Aeromonas aquatica,558964,S,275,245,520,0.00005
Enterobacter cloacae complex sp. FDA-CDC-AR_0132,2077137,S,233,393,626,0.00006
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,2077136,S,203,355,558,0.00005
Stenotrophomonas sp. ESTM1D_MKCIP4_1,2072414,S,1237,434,1671,0.00016
Stenotrophomonas sp. SAU14A_NAIMI4_5,2072413,S,861,495,1356,0.00013
Stenotrophomonas sp. ZAC14A_NAIMI4_1,2072412,S,335,669,1004,0.0001
Shewanella putrefaciens,24,S,56,68,124,0.00001
Clostridium estertheticum,238834,S,176,3,179,0.00002
Lactobacillus ginsenosidimutans,1007676,S,1535,11,1546,0.00015
Stenotrophomonas sp. MYb57,1827305,S,668,784,1452,0.00014
Pseudomonas sp. MYb193,1827300,S,27778,9525,37303,0.00368
Brevundimonas sp. DS20,1532555,S,7968,2185,10153,0.001
Pseudomonas virus Yua,462590,S,12,4,16,0
Burkholderia insecticola,758793,S,377,28,405,0.00004
Deinococcus deserti,310783,S,91,4,95,0.00001
Rhodococcus virus Pepy6,1982368,S,12,5,17,0
Delftia sp. HK171,1920191,S,1280,4262,5542,0.00055
Flavobacteriaceae bacterium 3519-10,531844,S,1327,32,1359,0.00013
Cronobacter phage vB_CsaM_GAP32,1141136,S,35,0,35,0
Methanobrevibacter ruminantium,83816,S,36,0,36,0
Arthrobacter sp. PGP41,2079227,S,119,12,131,0.00001
Paraburkholderia aromaticivorans,2026199,S,330,149,479,0.00005
Erythrobacter gangjinensis,502682,S,282,8,290,0.00003
Synechococcus sp. PCC 6312,195253,S,41,1,42,0
Paenibacillus xylanexedens,528191,S,54,3,57,0.00001
Paenisporosarcina sp. K2R23-3,2320858,S,30,5,35,0
Flammeovirgaceae bacterium 311,1257021,S,48,1,49,0
Sphingomonas sp. KC8,1030157,S,931,22,953,0.00009
Planococcus antarcticus,161360,S,29,2,31,0
Methylobacterium radiotolerans,31998,S,177,536,713,0.00007
Streptomyces sp. NEAU-S7GS2,2202000,S,108,10,118,0.00001
Comamonas kerstersii,225992,S,14153,2696,16849,0.00166
Enterobacteriaceae bacterium w6,2282310,S,215,37,252,0.00002
Lactococcus phage 340,1262533,S,103,67,170,0.00002
Paenibacillus bovis,1616788,S,149,11,160,0.00002
Achromobacter ruhlandii,72557,S,149,2407,2556,0.00025
Citrobacter phage Margaery,1701810,S,32,7,39,0
Paenibacillus crassostreae,1763538,S,26,2,28,0
Candidatus Methylopumilus planktonicus,1581557,S,40,2,42,0
Flavobacterium crassostreae,1763534,S,773,61,834,0.00008
Hydrogenophaga crassostreae,1763535,S,6986,256,7242,0.00071
Thalassotalea crassostreae,1763536,S,23,0,23,0
Lactobacillus sp. CBA3605,2099788,S,26,1,27,0
Lactobacillus sp. CBA3606,2099789,S,42,5,47,0
Prevotella intermedia,28131,S,613,166,779,0.00008
Auraticoccus monumenti,675864,S,565,44,609,0.00006
Psychromicrobium lacuslunae,1618207,S,98,2,100,0.00001
Gluconobacter albidus,318683,S,92,27,119,0.00001
Ruegeria sp. NKC1-1,2099786,S,43,0,43,0
Salmonella phage IME207,1873985,S,57,12,69,0.00001
Acinetobacter phage Acj9,760939,S,23,0,23,0
Deinococcus soli Cha et al. 2016,1309411,S,52,56,108,0.00001
Paracoccus sp. CBA4604,2065379,S,6060,552,6612,0.00065
Kordia sp. SMS9,2282170,S,147,2,149,0.00001
Micromonospora coxensis,356852,S,110,49,159,0.00002
Micromonospora chokoriensis,356851,S,115,26,141,0.00001
Mycobacterium sp. VKM Ac-1817D,1273687,S,462,2491,2953,0.00029
Cronobacter malonaticus,413503,S,184,294,478,0.00005
Cronobacter turicensis,413502,S,166,23,189,0.00002
Cronobacter muytjensii,413501,S,276,32,308,0.00003
Enterobacter bugandensis,881260,S,519,69,588,0.00006
Acetobacter ghanensis,431306,S,82,9,91,0.00001
Moorea producens,1155739,S,99,0,99,0.00001
Leptospira borgpetersenii,174,S,15,4,19,0
Syntrophobotulus glycolicus,51197,S,381,3,384,0.00004
Croceibacter atlanticus,313588,S,100,5,105,0.00001
Microterricola viridarii,412690,S,1003,153,1156,0.00011
Klebsiella virus KP34,1920777,S,70,16,86,0.00001
Azorhizobium caulinodans,7,S,1740,198,1938,0.00019
Comamonas serinivorans,1082851,S,8806,841,9647,0.00095
Klebsiella virus SU552A,1920779,S,20,4,24,0
Klebsiella virus SU503,1920778,S,21,4,25,0
Candidatus Gracilibacteria bacterium HOT-871,1540872,S,53,0,53,0.00001
Mucilaginibacter paludis,423351,S,81,4,85,0.00001
Proteiniphilum saccharofermentans,1642647,S,285,10,295,0.00003
Corynebacterium glyciniphilum,1404244,S,130,6,136,0.00001
Elusimicrobium minutum,423605,S,27,0,27,0
Vibrio anguillarum,55601,S,104,30,134,0.00001
Paracoccus contaminans,1945662,S,3851,482,4333,0.00043
Pseudomonas knackmussii,65741,S,939,303,1242,0.00012
Erysipelothrix larvae,1514105,S,1077,48,1125,0.00011
Microvirga ossetica,1882682,S,944,65,1009,0.0001
Nitrosomonas sp. Is79A3,261292,S,165,4,169,0.00002
Escherichia virus G7C,1920754,S,278,22,300,0.00003
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',1618022,S,17,7,24,0
Bradyrhizobium sp. ORS 278,114615,S,643,120,763,0.00008
Jeongeupia sp. USM3,1906741,S,1065,87,1152,0.00011
Microbacterium sp. BH-3-3-3,1906742,S,1258,201,1459,0.00014
Methylobacterium nodulans,114616,S,794,43,837,0.00008
Fibrella sp. ES10-3-2-2,1834519,S,61,6,67,0.00001
Pseudomonas sp. XWY-1,2069256,S,113,201,314,0.00003
Pelosinus sp. UFO1,484770,S,226,185,411,0.00004
Microcoleus sp. PCC 7113,1173027,S,28,2,30,0
Brochothrix phage BL3,764562,S,15,0,15,0
Desulfurobacterium thermolithotrophum,64160,S,11,1,12,0
Paraburkholderia rhizoxinica,412963,S,245,8,253,0.00002
Caulobacter mirabilis,69666,S,1525,171,1696,0.00017
Lactobacillus amylovorus,1604,S,6974,600,7574,0.00075
Xylella fastidiosa,2371,S,340,40,380,0.00004
Salmonella virus SP31,1911006,S,23,0,23,0
Celeribacter marinus,1397108,S,212,8,220,0.00002
Candidatus Protochlamydia amoebophila,362787,S,20,2,22,0
Burkholderia oklahomensis,342113,S,125,38,163,0.00002
Spiroplasma cantharicola,362837,S,11,2,13,0
Pseudodesulfovibrio piezophilus,879567,S,65,1,66,0.00001
Lactobacillus parabuchneri,152331,S,870,58,928,0.00009
Sphingopyxis fribergensis,1515612,S,5944,1234,7178,0.00071
Micromonospora echinospora,1877,S,154,30,184,0.00002
Cronobacter phage CR5,1195085,S,135,22,157,0.00002
Methanothermobacter thermautotrophicus,145262,S,12,13,25,0
Prosthecochloris sp. GSB1,281093,S,70,2,72,0.00001
Psychrobacter alimentarius,261164,S,13289,510,13799,0.00136
Aeromonas phage CC2,1204516,S,11,0,11,0
Streptococcus merionis,400065,S,751,7,758,0.00007
Selenomonas ruminantium,971,S,562,50,612,0.00006
Streptomyces formicae,1616117,S,146,11,157,0.00002
Escherichia phage APCEc01,1655305,S,11,30,41,0
Escherichia phage slur16,1720495,S,342,135,477,0.00005
Mitsuaria sp. 7,1658665,S,1819,321,2140,0.00021
Lutibacter profundi,1622118,S,124,3,127,0.00001
Cellulophaga lytica,979,S,137,17,154,0.00002
Stackebrandtia nassauensis,283811,S,213,5,218,0.00002
Gilvibacter sp. SZ-19,754429,S,37,2,39,0
Leptospirillum ferrooxidans,180,S,15,0,15,0
Castellaniella defragrans,75697,S,1579,279,1858,0.00018
Rufibacter sp. DG31D,1379910,S,47,3,50,0
Methylobacterium aquaticum,270351,S,687,123,810,0.00008
Tenacibaculum sp. SZ-18,754423,S,232,15,247,0.00002
Pseudomonas sp. St29,1500687,S,112,153,265,0.00003
Pseudomonas sp. Os17,1500686,S,105,143,248,0.00002
Halopiger xanaduensis,387343,S,24,2,26,0
Burkholderia metallica,488729,S,142,64,206,0.00002
Methylobacterium sp. XJLM,1826873,S,101,1057,1158,0.00011
Rhodobacter sp. CZR27,2033869,S,1740,456,2196,0.00022
Microcystis aeruginosa,1126,S,61,16,77,0.00001
Thermogutta terrifontis,1331910,S,43,0,43,0
Methylacidiphilum fumariolicum,591154,S,10,4,14,0
Streptomyces griseus,1911,S,68,23,91,0.00001
Pseudomonas sp. Lz4W,1206777,S,5813,11100,16913,0.00167
Streptomyces lincolnensis,1915,S,172,15,187,0.00002
Streptomyces lavendulae,1914,S,111,13,124,0.00001
Bordetella pseudohinzii,1331258,S,722,151,873,0.00009
Terriglobus roseus,392734,S,173,24,197,0.00002
Pseudomonas phage PaBG,1335230,S,80,0,80,0.00001
Frischella perrara,1267021,S,32,0,32,0
Paraburkholderia caribensis,75105,S,471,156,627,0.00006
Syntrophomonas wolfei,863,S,116,2,118,0.00001
Caldanaerobacter subterraneus,911092,S,58,20,78,0.00001
Mycoplasma fermentans,2115,S,15,0,15,0
Brochothrix thermosphacta,2756,S,833,46,879,0.00009
Achromobacter xylosoxidans,85698,S,4281,2509,6790,0.00067
Thermomonospora curvata,2020,S,277,54,331,0.00003
Thermobifida fusca,2021,S,131,8,139,0.00001
Acinetobacter sp. ADP1,62977,S,1171,26,1197,0.00012
Carnobacterium maltaromaticum,2751,S,8720,968,9688,0.00095
Bacillus cellulasensis,1049581,S,102,126,228,0.00002
Sphingomonas melonis,152682,S,1814,2661,4475,0.00044
Agromyces sp. 30A,2080742,S,669,160,829,0.00008
Corynebacterium sp. 2183,2080740,S,100,4,104,0.00001
Clostridium perfringens,1502,S,1516,29,1545,0.00015
Desulfovibrio vulgaris,881,S,1863,15,1878,0.00019
Desulfovibrio salexigens,880,S,118,2,120,0.00001
Rhodococcus sp. PBTS 2,1653479,S,1508,663,2171,0.00021
Rhodococcus sp. PBTS 1,1653478,S,352,48,400,0.00004
Nakamurella multipartita,53461,S,17619,1428,19047,0.00188
Magnetospirillum sp. ME-1,1639348,S,272,153,425,0.00004
Klebsiella virus K11,1985724,S,14,5,19,0
Paenibacillus terrae,159743,S,45,7,52,0.00001
Candidatus Phytoplasma australiense,59748,S,11,2,13,0
Escherichia virus ECB2,1987939,S,41,2,43,0
Enterobacteria phage EcoDS1,532075,S,24,13,37,0
Jannaschia sp. CCS1,290400,S,372,4,376,0.00004
Escherichia virus EPS7,491003,S,45,36,81,0.00001
Klebsiella phage vB_KpnM_KpV477,1852625,S,106,13,119,0.00001
Mesotoga prima,1184387,S,3588,1,3589,0.00035
Streptomyces sp. SCSIO 03032,1109743,S,219,18,237,0.00002
Sphingobacterium sp. B29,1933220,S,123,50,173,0.00002
Rickettsiales bacterium Ac37b,1528098,S,42,1,43,0
Lawsonella clevelandensis,1528099,S,128,10,138,0.00001
Algoriphagus machipongonensis,388413,S,58,0,58,0.00001
Bacteroides ovatus,28116,S,2071,75,2146,0.00021
Spongiibacter sp. IMCC21906,1620392,S,84,3,87,0.00001
Azoarcus olearius,418699,S,401,1125,1526,0.00015
Azospirillum thiophilum,528244,S,1278,301,1579,0.00016
Streptomyces cyaneogriseus,68192,S,48,12,60,0.00001
Croceicoccus marinus,450378,S,610,289,899,0.00009
Pseudomonas sp. LH1G9,2083055,S,2687,2526,5213,0.00051
Pseudomonas sp. LG1D9,2083054,S,3315,464,3779,0.00037
Pseudomonas sp. SWI44,2083053,S,63,255,318,0.00003
Pseudomonas sp. SWI36,2083052,S,46,94,140,0.00001
Pseudomonas sp. SWI6,2083051,S,26,174,200,0.00002
Pseudomonas brassicacearum,930166,S,709,1736,2445,0.00024
Massilia sp. NR 4-1,1678028,S,1176,124,1300,0.00013
Pediococcus inopinatus,114090,S,172,36,208,0.00002
Ehrlichia ruminantium,779,S,42,0,42,0
Klebsiella phage phiKO2,255431,S,11,1,12,0
Candidatus Nitrospira inopinata,1715989,S,61,0,61,0.00001
Escherichia phage PE3-1,1498170,S,17,7,24,0
Methanosarcina siciliae,38027,S,24,3,27,0
Vibrio shilonii,62153,S,20,0,20,0
Simonsiella muelleri,72,S,655,97,752,0.00007
Bacteroides phage B124-14,1105171,S,63,7,70,0.00001
Burkholderia pseudomallei,28450,S,559,2527,3086,0.0003
Streptomyces avermitilis,33903,S,122,10,132,0.00001
Verminephrobacter eiseniae,364317,S,11648,368,12016,0.00118
Chamaesiphon minutus,1173032,S,32,1,33,0
Candidatus Nitrosoglobus terrae,1630141,S,36,2,38,0
Pectobacterium atrosepticum,29471,S,256,27,283,0.00003
Megamonas hypermegale,158847,S,735,44,779,0.00008
Streptomyces katrae,68223,S,76,10,86,0.00001
Leminorella richardii,158841,S,125,1,126,0.00001
Micromonospora echinofusca,47858,S,194,66,260,0.00003
Candidatus Thioglobus singularis,1427364,S,42,2,44,0
Synechococcus sp. NIES-970,1827144,S,15,2,17,0
Allochromatium vinosum,1049,S,350,49,399,0.00004
Streptomyces fulvissimus,68202,S,51,16,67,0.00001
Veillonella parvula,29466,S,4973,301,5274,0.00052
Bifidobacterium bifidum,1681,S,25217,1868,27085,0.00267
Bifidobacterium adolescentis,1680,S,153811,6851,160662,0.01583
Bifidobacterium angulatum,1683,S,3403,109,3512,0.00035
Bifidobacterium breve,1685,S,3814,863,4677,0.00046
Bifidobacterium asteroides,1684,S,179,-179,0,0
Bifidobacterium coryneforme,1687,S,27,8,35,0
Bifidobacterium catenulatum,1686,S,15206,3088,18294,0.0018
Bifidobacterium dentium,1689,S,3808,15,3823,0.00038
Enterobacter sp. R4-368,1166130,S,318,20,338,0.00003
Lactobacillus curvatus,28038,S,424,43,467,0.00005
Anaerococcus mediterraneensis,1870984,S,56,6,62,0.00001
Ignavibacterium album,591197,S,88,7,95,0.00001
Natranaerobius thermophilus,375929,S,39,0,39,0
Vibrio harveyi,669,S,57,10,67,0.00001
Aliivibrio fischeri,668,S,46,2,48,0
Paracoccus aminophilus,34003,S,3526,170,3696,0.00036
Paenibacillus physcomitrellae,1619311,S,87,22,109,0.00001
Vibrio alginolyticus,663,S,289,57,346,0.00003
Paracoccus aminovorans,34004,S,8339,1316,9655,0.00095
Ruminococcus albus,1264,S,270,2,272,0.00003
Collimonas pratensis,279113,S,596,151,747,0.00007
Pseudomonas sp. S09G 359,2054919,S,1133,158,1291,0.00013
Sulfurimonas gotlandica,1176482,S,60,1,61,0.00001
Microbacterium paludicola,300019,S,1516,201,1717,0.00017
Micromonospora rifamycinica,291594,S,146,37,183,0.00002
Altererythrobacter dongtanensis,692370,S,357,30,387,0.00004
Aeromonas virus 25,233894,S,71,13,84,0.00001
Paenibacillus sabinae,365617,S,88,8,96,0.00001
Streptomyces hygroscopicus,1912,S,184,55,239,0.00002
Salinispira pacifica,1307761,S,34,0,34,0
Escherichia virus K1G,1911008,S,398,156,554,0.00005
Escherichia virus EC6,1965376,S,12,8,20,0
Sulfuricurvum kujiense,148813,S,35,0,35,0
Robiginitalea biformata,252307,S,36,0,36,0
Lactobacillus kunkeei,148814,S,49,0,49,0
Brevibacillus laterosporus,1465,S,118,8,126,0.00001
Paenibacillus larvae,1464,S,44,2,46,0
Bacillus lentus,1467,S,61,1,62,0.00001
Mycoplasma haemofelis,29501,S,15,0,15,0
Solimonas sp. K1W22B-7,2303331,S,602,4,606,0.00006
Bordetella avium,521,S,537,44,581,0.00006
Chlamydia sp. 2742-308,1806891,S,19,11,30,0
Streptococcus pyogenes,1314,S,1319,577,1896,0.00019
Streptococcus pneumoniae,1313,S,1978,944,2922,0.00029
Rathayibacter toxicus,145458,S,92,8,100,0.00001
Streptococcus agalactiae,1311,S,8021,10791,18812,0.00185
Streptococcus sobrinus,1310,S,1134,20,1154,0.00011
Pseudomonas brenneri,129817,S,1274,230,1504,0.00015
Asaia bogorensis,91915,S,101,3,104,0.00001
Acinetobacter defluvii,1871111,S,3530,632,4162,0.00041
Streptococcus sp. 'group B',1319,S,88,4697,4785,0.00047
Salmonella enterica,28901,S,4994,10247,15241,0.0015
Paeniclostridium sordellii,1505,S,538,13,551,0.00005
Stenotrophomonas sp. YAU14A_MKIMI4_1,2072408,S,101,696,797,0.00008
Stenotrophomonas sp. SAU14A_NAIMI4_8,2072409,S,109,752,861,0.00008
Salinivirga cyanobacteriivorans,1307839,S,30,0,30,0
Vibrio coralliilyticus,190893,S,117,3,120,0.00001
Oceanisphaera avium,1903694,S,89,3,92,0.00001
Stenotrophomonas sp. ZAC14D2_NAIMI4_6,2072406,S,321,666,987,0.0001
Stenotrophomonas sp. YAU14D1_LEIMI4_1,2072407,S,383,678,1061,0.0001
Vibrio rotiferianus,190895,S,31,5,36,0
Halomonas sp. N3-2A,2014541,S,57,27,84,0.00001
Alcanivorax sp. N3-2A,2014542,S,432,78,510,0.00005
